GeneMANIA Results
Plugin Version	3.3.4 (20140731-1725)
Data Version	2014-08-12
Report Generated	Sun Dec 07 12:49:35 EST 2014

Gene	Score	Description
GO:0090100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	1.2572122453091401E-4	7	53
GO:0051170	nuclear import	1.2677845356799926E-4	11	161
GO:0000209	protein polyubiquitination	1.2677845356799926E-4	11	161
GO:0034134	toll-like receptor 2 signaling pathway	1.3226051405193875E-4	8	76
GO:0002694	regulation of leukocyte activation	1.370203850622498E-4	13	232
GO:0007131	reciprocal meiotic recombination	1.4044589492977457E-4	6	35
GO:0033002	muscle cell proliferation	1.4044589492977457E-4	7	54
GO:0044786	cell cycle DNA replication	1.4044589492977457E-4	6	35
GO:0035825	reciprocal DNA recombination	1.4044589492977457E-4	6	35
GO:0090200	positive regulation of release of cytochrome c from mitochondria	1.4052722902149927E-4	5	20
GO:0002218	activation of innate immune response	1.5690281201328842E-4	11	165
GO:0009896	positive regulation of catabolic process	1.7566796708216723E-4	10	135
GO:0008094	DNA-dependent ATPase activity	1.7667425988550763E-4	7	56
GO:0030291	protein serine/threonine kinase inhibitor activity	1.803950506916764E-4	5	21
GO:0019043	establishment of viral latency	1.8341593329087265E-4	4	10
GO:0006266	DNA ligation	1.8341593329087265E-4	4	10
GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity	1.8341593329087265E-4	4	10
GO:0005072	transforming growth factor beta receptor, cytoplasmic mediator activity	1.8341593329087265E-4	4	10
GO:0060391	positive regulation of SMAD protein import into nucleus	1.8341593329087265E-4	4	10
GO:0070411	I-SMAD binding	1.8341593329087265E-4	4	10
GO:0022616	DNA strand elongation	1.8991151292458103E-4	6	37
GO:0010498	proteasomal protein catabolic process	1.9731183416849254E-4	13	241
GO:0045088	regulation of innate immune response	2.1536554268774844E-4	13	243
GO:0050680	negative regulation of epithelial cell proliferation	2.1698025735655596E-4	7	58
GO:0019887	protein kinase regulator activity	2.2052971848984926E-4	8	82
GO:0050867	positive regulation of cell activation	2.2382284704155515E-4	11	172
GO:0051249	regulation of lymphocyte activation	2.3480951533583213E-4	12	208
GO:0006469	negative regulation of protein kinase activity	2.469830915598631E-4	10	141
GO:0019042	viral latency	2.768657845576905E-4	4	11
GO:0016303	1-phosphatidylinositol-3-kinase activity	2.768657845576905E-4	4	11
GO:0032459	regulation of protein oligomerization	2.775689591577489E-4	5	23
GO:0048534	hematopoietic or lymphoid organ development	2.855987489040258E-4	13	250
GO:0034976	response to endoplasmic reticulum stress	2.878420786730384E-4	9	113
GO:0000793	condensed chromosome	3.0735090055324647E-4	8	86
GO:0050851	antigen receptor-mediated signaling pathway	3.076452962609E-4	9	114
GO:0050678	regulation of epithelial cell proliferation	3.291120096510379E-4	10	146
GO:0006109	regulation of carbohydrate metabolic process	3.3121936176396313E-4	8	87
GO:0071901	negative regulation of protein serine/threonine kinase activity	3.3121936176396313E-4	8	87
GO:0032201	telomere maintenance via semi-conservative replication	3.390773039041232E-4	5	24
GO:0051091	positive regulation of sequence-specific DNA binding transcription factor activity	3.5014325073057863E-4	11	181
GO:0016570	histone modification	3.595065793970048E-4	13	256
GO:0010769	regulation of cell morphogenesis involved in differentiation	3.6483866958682455E-4	10	148
GO:0031334	positive regulation of protein complex assembly	3.869384278398198E-4	8	89
GO:0035004	phosphatidylinositol 3-kinase activity	3.934081898530928E-4	4	12
GO:0005942	phosphatidylinositol 3-kinase complex	3.934081898530928E-4	4	12
GO:0047485	protein N-terminus binding	3.961911536333214E-4	7	64
GO:0017038	protein import	4.0120613430003895E-4	11	184
GO:0004003	ATP-dependent DNA helicase activity	4.089371785122349E-4	5	25
GO:0034166	toll-like receptor 10 signaling pathway	4.322007614945236E-4	7	65
GO:0016569	covalent chromatin modification	4.322007614945236E-4	13	261
GO:0034146	toll-like receptor 5 signaling pathway	4.322007614945236E-4	7	65
GO:0045862	positive regulation of proteolysis	4.322007614945236E-4	7	65
GO:0051302	regulation of cell division	4.741800966506391E-4	10	153
GO:0045089	positive regulation of innate immune response	4.822950476711298E-4	11	188
GO:0010718	positive regulation of epithelial to mesenchymal transition	4.874420272850094E-4	5	26
GO:0000722	telomere maintenance via recombination	4.874420272850094E-4	5	26
GO:1901992	positive regulation of mitotic cell cycle phase transition	4.874420272850094E-4	5	26
GO:0032885	regulation of polysaccharide biosynthetic process	4.874420272850094E-4	5	26
GO:0032872	regulation of stress-activated MAPK cascade	4.9960944335267E-4	9	122
GO:0070302	regulation of stress-activated protein kinase signaling cascade	5.324001945362813E-4	9	123
GO:1901798	positive regulation of signal transduction by p53 class mediator	5.333238591850864E-4	4	13
GO:0002260	lymphocyte homeostasis	5.333238591850864E-4	4	13
GO:0060390	regulation of SMAD protein import into nucleus	5.333238591850864E-4	4	13
GO:0043517	positive regulation of DNA damage response, signal transduction by p53 class mediator	5.333238591850864E-4	4	13
GO:0043255	regulation of carbohydrate biosynthetic process	5.418894379329593E-4	6	45
GO:0072593	reactive oxygen species metabolic process	5.44298001900368E-4	8	94
GO:0014065	phosphatidylinositol 3-kinase signaling	5.607174388670816E-4	7	68
GO:1901989	positive regulation of cell cycle phase transition	5.748156242908367E-4	5	27
GO:1901654	response to ketone	5.748156242908367E-4	5	27
GO:0006283	transcription-coupled nucleotide-excision repair	6.072510902746952E-4	6	46
GO:0018107	peptidyl-threonine phosphorylation	6.072510902746952E-4	6	46
GO:0030097	hemopoiesis	6.254852371292606E-4	12	232
GO:0065004	protein-DNA complex assembly	6.67466567165749E-4	7	70
GO:2000736	regulation of stem cell differentiation	6.67466567165749E-4	7	70
GO:0033260	nuclear cell cycle DNA replication	6.821602070729703E-4	5	28
GO:1902749	regulation of cell cycle G2/M phase transition	7.103033768357525E-4	4	14
GO:0006978	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	7.103033768357525E-4	4	14
GO:0010389	regulation of G2/M transition of mitotic cell cycle	7.103033768357525E-4	4	14
GO:0052742	phosphatidylinositol kinase activity	7.103033768357525E-4	4	14
GO:0005057	receptor signaling protein activity	7.129719693234694E-4	8	98
GO:0038124	toll-like receptor TLR6:TLR2 signaling pathway	7.178943167365703E-4	7	71
GO:0038123	toll-like receptor TLR1:TLR2 signaling pathway	7.178943167365703E-4	7	71
GO:0031093	platelet alpha granule lumen	7.56042263821151E-4	6	48
GO:0097194	execution phase of apoptosis	7.601646893793608E-4	8	99
GO:0046822	regulation of nucleocytoplasmic transport	7.778873564259549E-4	9	130
GO:2001238	positive regulation of extrinsic apoptotic signaling pathway	7.910521934556592E-4	5	29
GO:0032881	regulation of polysaccharide metabolic process	7.910521934556592E-4	5	29
GO:0000790	nuclear chromatin	8.20798912256887E-4	9	131
GO:0050673	epithelial cell proliferation	8.32438016259921E-4	10	165
GO:0034162	toll-like receptor 9 signaling pathway	8.429383469565664E-4	7	73
GO:0010954	positive regulation of protein processing	8.429383469565664E-4	7	73
GO:0002696	positive regulation of leukocyte activation	8.704736805545826E-4	10	166
GO:0042772	DNA damage response, signal transduction resulting in transcription	9.229437869835287E-4	4	15
GO:0043525	positive regulation of neuron apoptotic process	9.229437869835287E-4	4	15
GO:0007127	meiosis I	9.265636264737668E-4	6	50
GO:0003697	single-stranded DNA binding	9.265636264737668E-4	6	50
GO:0018210	peptidyl-threonine modification	9.265636264737668E-4	6	50
GO:0048732	gland development	9.846525184517556E-4	7	75
GO:0010810	regulation of cell-substrate adhesion	9.846525184517556E-4	7	75
GO:0097305	response to alcohol	9.846525184517556E-4	7	75
GO:0060021	palate development	0.0010720138564351224	5	31
GO:0017015	regulation of transforming growth factor beta receptor signaling pathway	0.00116486861943216	7	77
GO:0030511	positive regulation of transforming growth factor beta receptor signaling pathway	0.0011891497228463709	4	16
GO:1901216	positive regulation of neuron death	0.0011891497228463709	4	16
GO:0005741	mitochondrial outer membrane	0.0012581970291434138	7	78
GO:0048872	homeostasis of number of cells	0.0012726081807415016	6	53
GO:0043410	positive regulation of MAPK cascade	0.001349346802467674	12	253
GO:0019838	growth factor binding	0.0013573876763720092	7	79
GO:0002429	immune response-activating cell surface receptor signaling pathway	0.0013809358974534048	10	176
GO:0043565	sequence-specific DNA binding	0.001392142703532697	12	254
GO:0071887	leukocyte apoptotic process	0.001400948971499201	6	54
GO:0070227	lymphocyte apoptotic process	0.0014306245545616758	5	33
GO:0002755	MyD88-dependent toll-like receptor signaling pathway	0.0014554987664025345	7	80
GO:0010608	posttranscriptional regulation of gene expression	0.0014766998509437921	13	298
GO:0045737	positive regulation of cyclin-dependent protein kinase activity	0.0014926298608327416	4	17
GO:0010507	negative regulation of autophagy	0.0014926298608327416	4	17
GO:0001953	negative regulation of cell-matrix adhesion	0.0014926298608327416	4	17
GO:0042493	response to drug	0.0016046392231788289	8	111
GO:0090003	regulation of establishment of protein localization to plasma membrane	0.001633942453915123	5	34
GO:0042787	protein ubiquitination involved in ubiquitin-dependent protein catabolic process	0.0018594507036845142	6	57
GO:0048660	regulation of smooth muscle cell proliferation	0.0018594507036845142	5	35
GO:0014910	regulation of smooth muscle cell migration	0.0018594507036845142	4	18
GO:0005657	replication fork	0.0018594507036845142	5	35
GO:0022612	gland morphogenesis	0.0018594507036845142	4	18
GO:0090398	cellular senescence	0.0018594507036845142	5	35
GO:0001776	leukocyte homeostasis	0.0018594507036845142	4	18
GO:0003682	chromatin binding	0.0018594507036845142	9	147
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0.0021079790532674988	11	225
GO:0048659	smooth muscle cell proliferation	0.002122543494928098	5	36
GO:0033157	regulation of intracellular protein transport	0.0021627839953963905	9	150
GO:0051881	regulation of mitochondrial membrane potential	0.0022990253700030916	4	19
GO:1902041	regulation of extrinsic apoptotic signaling pathway via death domain receptors	0.0022990253700030916	4	19
GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	0.0022990253700030916	4	19
GO:0008408	3'-5' exonuclease activity	0.0024036323956255655	5	37
GO:0051241	negative regulation of multicellular organismal process	0.0024322957809136156	11	229
GO:0031968	organelle outer membrane	0.002553646984963081	7	88
GO:0010506	regulation of autophagy	0.002640212114809592	6	61
GO:0031091	platelet alpha granule	0.002640212114809592	6	61
GO:0051100	negative regulation of binding	0.002640212114809592	6	61
GO:0003678	DNA helicase activity	0.0027049157414063218	5	38
GO:0005667	transcription factor complex	0.0027149665552513966	9	155
GO:0051251	positive regulation of lymphocyte activation	0.0027149665552513966	9	155
GO:0051059	NF-kappaB binding	0.002764432965721079	4	20
GO:0070231	T cell apoptotic process	0.002764432965721079	4	20
GO:0032813	tumor necrosis factor receptor superfamily binding	0.002764432965721079	4	20
GO:0045930	negative regulation of mitotic cell cycle	0.002764432965721079	4	20
GO:0006473	protein acetylation	0.002778052860351839	8	121
GO:0051297	centrosome organization	0.0028306947513058026	6	62
GO:0034774	secretory granule lumen	0.0028306947513058026	6	62
GO:0019867	outer membrane	0.0028535220049676615	7	90
GO:0051259	protein oligomerization	0.0028535220049676615	10	194
GO:0022604	regulation of cell morphogenesis	0.0029527866841971883	11	235
GO:0007098	centrosome cycle	0.0029784944321383936	5	39
GO:0010770	positive regulation of cell morphogenesis involved in differentiation	0.0029784944321383936	5	39
GO:0030278	regulation of ossification	0.0030312803578478034	7	91
GO:0006338	chromatin remodeling	0.0032430639787200633	7	92
GO:0000718	nucleotide-excision repair, DNA damage removal	0.003295132697051973	4	21
GO:0044349	DNA excision	0.003295132697051973	4	21
GO:0070936	protein K48-linked ubiquitination	0.003336074565564827	5	40
GO:0000981	sequence-specific DNA binding RNA polymerase II transcription factor activity	0.003458772817644957	10	199
GO:0042110	T cell activation	0.003625947627401556	11	241
GO:0019216	regulation of lipid metabolic process	0.003642625058556013	9	162
GO:0010639	negative regulation of organelle organization	0.003642625058556013	9	162
GO:0043620	regulation of DNA-templated transcription in response to stress	0.003715941929324554	5	41
GO:0004860	protein kinase inhibitor activity	0.003715941929324554	5	41
GO:0034599	cellular response to oxidative stress	0.003863878772274631	7	95
GO:0006298	mismatch repair	0.003863878772274631	4	22
GO:0014909	smooth muscle cell migration	0.003863878772274631	4	22
GO:0006309	apoptotic DNA fragmentation	0.003863878772274631	4	22
GO:0043276	anoikis	0.003863878772274631	4	22
GO:0031023	microtubule organizing center organization	0.003863878772274631	6	66
GO:0007088	regulation of mitosis	0.003863878772274631	7	95
GO:0048009	insulin-like growth factor receptor signaling pathway	0.003863878772274631	4	22
GO:0030099	myeloid cell differentiation	0.0039079214212738	9	164
GO:0008026	ATP-dependent helicase activity	0.004082149580255736	5	42
GO:0070035	purine NTP-dependent helicase activity	0.004082149580255736	5	42
GO:0006914	autophagy	0.004335116524151409	7	97
GO:0006997	nucleus organization	0.004474839959320271	6	68
GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	0.0045584414068110795	4	23
GO:0002312	B cell activation involved in immune response	0.0045584414068110795	4	23
GO:2000779	regulation of double-strand break repair	0.0045584414068110795	4	23
GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	0.004745360977368096	8	132
GO:0051272	positive regulation of cellular component movement	0.004746212970431996	10	208
GO:0070661	leukocyte proliferation	0.004980512742765113	8	133
GO:0019210	kinase inhibitor activity	0.005021913167200508	5	44
GO:0051340	regulation of ligase activity	0.005142856562428341	7	100
GO:0031647	regulation of protein stability	0.005142856562428341	7	100
GO:0010721	negative regulation of cell development	0.005153101162972936	6	70
GO:0030168	platelet activation	0.005271843408560792	10	211
GO:0000784	nuclear chromosome, telomeric region	0.0053215874516201675	4	24
GO:0016573	histone acetylation	0.00541790226502592	7	101
GO:0051783	regulation of nuclear division	0.00541790226502592	7	101
GO:0018393	internal peptidyl-lysine acetylation	0.005751054578566002	7	102
GO:0043393	regulation of protein binding	0.005941813932658202	6	72
GO:0051896	regulation of protein kinase B signaling	0.005941813932658202	6	72
GO:0002719	negative regulation of cytokine production involved in immune response	0.005975309955565059	3	10
GO:0002701	negative regulation of production of molecular mediator of immune response	0.005975309955565059	3	10
GO:0032404	mismatch repair complex binding	0.005975309955565059	3	10
GO:0007183	SMAD protein complex assembly	0.005975309955565059	3	10
GO:0061082	myeloid leukocyte cytokine production	0.005975309955565059	3	10
GO:0007160	cell-matrix adhesion	0.005975309955565059	7	103
GO:0043029	T cell homeostasis	0.005975309955565059	3	10
GO:0051101	regulation of DNA binding	0.005975309955565059	5	46
GO:0036092	phosphatidylinositol-3-phosphate biosynthetic process	0.005975309955565059	3	10
GO:0000185	activation of MAPKKK activity	0.005975309955565059	3	10
GO:0043551	regulation of phosphatidylinositol 3-kinase activity	0.006054593495730863	4	25
GO:0010862	positive regulation of pathway-restricted SMAD protein phosphorylation	0.006054593495730863	4	25
GO:2000648	positive regulation of stem cell proliferation	0.006054593495730863	4	25
GO:0018205	peptidyl-lysine modification	0.0061121603494162504	8	138
GO:0071216	cellular response to biotic stimulus	0.006223229268569687	6	73
GO:0043627	response to estrogen	0.006534787753852426	5	47
GO:0035872	nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	0.006534787753852426	5	47
GO:0019902	phosphatase binding	0.006619577075063561	7	105
GO:0010720	positive regulation of cell development	0.006968160986594783	7	106
GO:0043596	nuclear replication fork	0.006968160986594783	4	26
GO:0014812	muscle cell migration	0.006968160986594783	4	26
GO:0018394	peptidyl-lysine acetylation	0.006968160986594783	7	106
GO:0006998	nuclear envelope organization	0.007130355001110411	5	48
GO:0033613	activating transcription factor binding	0.007130355001110411	5	48
GO:0007067	mitosis	0.007201975665287245	9	180
